Player,avg,gp-gs,ab,r,h,2b,3b,hr,rbi,tb,slg%,bb,hbp,so,gdp,ob%,sf,sh,sb-att,po,a,e,fld%
Ace Reese,.352,57-57,227,58,80,18,1,21,66,163,.718,26,5,52,4,.422,5,0,1-1,25,71,12,.889
Noah Sullivan,.345,59-59,203,63,70,16,0,15,46,131,.645,35,16,42,6,.475,1,0,1-1,2,0,0,1.000
Gehrig Frei,.345,50-33,145,33,50,11,0,8,17,85,.586,8,7,21,4,.404,1,0,2-3,49,4,5,.914
Bryce Chance,.332,58-56,208,49,69,14,1,4,43,97,.466,23,3,39,3,.399,4,4,10-11,101,3,0,1.000
Gatlin Sanders,.317,47-42,139,26,44,5,0,0,23,49,.353,12,9,39,4,.401,2,1,2-2,58,94,4,.974
Sawyer Reeves,.292,46-36,144,33,42,9,0,3,20,60,.417,15,3,30,0,.366,2,4,6-8,42,67,9,.924
Hunter Hines,.280,57-57,211,49,59,15,0,16,52,122,.578,33,3,60,5,.380,3,0,0-0,374,26,1,.998
Ross Highfill,.218,45-35,124,27,27,4,1,3,20,42,.339,11,13,44,2,.345,0,2,12-14,312,20,5,.985
----------,,,,,,,,,,,,,,,,,,,,,,,
Steven Spalitta,.400,12-0,15,4,6,0,1,1,6,11,.733,1,0,3,0,.438,0,0,0-0,6,1,0,1.000
Ethan Pulliam,.333,7-1,6,1,2,0,1,0,0,4,.667,1,2,1,0,.556,0,0,0-0,0,0,0,.000
Nolan Stevens,.320,36-28,100,19,32,6,0,4,21,50,.500,13,3,25,2,.414,0,0,2-3,43,2,2,.957
Lukas Buckner,.289,22-6,38,3,11,0,0,0,2,11,.289,3,0,8,2,.341,0,0,0-0,8,21,0,1.000
Joe Powell,.283,35-33,106,21,30,6,0,9,38,63,.594,13,3,37,0,.374,1,1,0-0,320,19,1,.997
Dylan Cupp,.282,33-31,85,16,24,9,0,1,15,36,.424,21,6,22,2,.451,1,3,1-1,31,55,9,.905
Reed Stallman,.265,44-32,117,22,31,8,0,11,34,72,.615,15,7,42,0,.376,2,0,0-1,36,1,1,.974
Aaron Downs,.254,31-20,71,22,18,3,0,7,20,42,.592,9,6,15,3,.379,1,0,4-4,30,1,0,1.000
Michael O'Brien,.190,37-4,21,7,4,1,1,0,2,7,.333,4,0,6,1,.320,0,0,1-1,16,0,0,1.000
Landis Davila,.167,6-0,6,1,1,0,0,0,1,1,.167,0,1,3,0,.286,0,0,0-0,0,0,0,.000
Jackson Owen,.000,6-1,5,0,0,0,0,0,0,0,.000,1,0,3,0,.167,0,0,0-0,14,0,0,1.000
Nate Chester,.000,6-0,2,2,0,0,0,0,0,0,.000,3,2,2,0,.714,0,0,0-0,0,2,0,1.000
Totals,.304,59-59,1973,456,600,125,6,103,426,1046,.530,247,89,494,38,.401,23,15,42-50,1490,444,56,.972
Opponents,.227,59-59,1873,290,425,74,12,59,265,700,.374,214,59,653,25,.322,21,18,68-79,1448,455,48,.975
