Player,era,w-l,app-gs,cg,sho,sv,ip,h,r,er,bb,so,2b,3b,hr,ab,b/avg,wp,hbp,bk,sfa,sha
Pico Kohn,4.72,5-4,15-15,0,0/0,0,80.0,69,47,42,29,114,16,5,13,304,.227,8,9,1,2,6
----------,,,,,,,,,,,,,,,,,,,,,,
Cade O'Leary,0.00,0-0,2-0,0,0/0,0,2.0,2,2,0,0,5,0,0,0,9,.222,1,0,0,0,0
Gavin Black,0.00,0-0,1-0,0,0/0,0,1.0,1,0,0,1,2,0,0,0,4,.250,0,0,0,0,0
Charlie Foster,1.59,0-1,7-1,0,0/0,0,11.1,3,4,2,8,17,1,0,1,37,.081,0,1,0,0,0
Noah Sullivan,1.96,0-0,7-7,0,0/0,0,18.1,17,4,4,3,15,6,0,0,69,.246,0,0,0,1,0
Chase Hungate,2.82,2-1,14-0,0,0/0,2,22.1,17,8,7,4,17,1,0,2,78,.218,1,1,0,2,1
Luke Dotson,3.09,1-2,18-0,0,0/0,2,23.1,18,10,8,12,34,3,0,3,84,.214,5,1,0,0,1
Ben Davis,3.77,4-2,23-4,0,0/0,1,57.1,52,33,24,24,61,6,0,2,220,.236,5,3,0,6,1
Evan Siary,4.00,3-1,15-10,0,0/0,0,54.0,45,26,24,15,72,9,2,8,205,.220,2,7,0,1,1
Dane Burns,4.02,1-1,14-0,0,0/0,0,15.2,11,7,7,12,19,2,0,1,56,.196,2,2,0,0,1
Ryan McPherson,4.12,4-1,20-2,0,0/0,3,39.1,28,22,18,15,56,5,0,5,147,.190,3,5,0,0,3
Nate Williams,4.23,1-3,19-0,0,0/0,1,27.2,14,14,13,11,51,2,0,3,97,.144,7,4,0,1,0
Kevin Mannell,4.30,2-0,11-0,0,0/0,0,14.2,14,9,7,5,19,1,1,2,54,.259,2,4,0,1,0
Karson Ligon,5.40,6-5,15-15,0,0/1,0,56.2,55,39,34,29,73,10,2,8,217,.253,7,11,1,3,2
Mikhai Grant,5.40,1-0,8-0,0,0/0,0,8.1,6,5,5,9,17,1,0,2,31,.194,0,3,0,0,0
Stone Simmons,5.45,4-2,16-3,0,0/1,3,33.0,35,24,20,14,43,7,0,3,130,.269,0,3,0,2,1
Duke Stone,5.79,0-0,5-0,0,0/0,0,4.2,6,3,3,3,7,0,1,1,19,.316,3,1,0,1,0
Jacob Pruitt,7.23,1-0,9-2,0,0/0,0,18.2,19,20,15,15,23,2,1,3,76,.250,0,3,0,1,0
Nolan Stevens,7.71,1-0,2-0,0,0/0,0,2.1,2,2,2,3,2,0,0,0,8,.250,0,0,0,0,0
Robert Fortenberry,11.12,0-0,6-0,0,0/0,0,5.2,7,7,7,1,5,2,0,1,23,.304,1,1,0,0,1
JT Schnoor,81.00,0-0,1-0,0,0/0,0,0.1,4,4,3,1,1,0,0,1,5,.800,0,0,0,0,0
Totals,4.44,36-23,59-59,0,1/1,12,496.2,425,290,245,214,653,74,12,59,1873,.227,47,59,2,21,18
Opponents,7.91,23-36,59-59,0,2/2,14,482.2,600,456,424,247,494,125,6,103,1973,.304,48,89,8,23,15
